EmployeeID,Name,Age,Experience,Salary,PerformanceScore,LeftCompany,Gender_Male,Department_HR,Department_IT,Department_Marketing,Department_Sales,City_Chennai,City_Delhi,City_Kolkata,City_Mumbai
1,Emp_1,1.5008206994455016,-1.5589489698716144,-0.027707380074715144,1.243366294063657,False,True,True,False,False,False,False,True,False,False
2,Emp_2,0.6473593883040587,0.5563071609589318,1.058670729483774,1.64591398144667,False,False,False,False,True,False,False,False,True,False
3,Emp_3,-0.5474864472939611,0.9030704610950869,-0.15639203062073473,-1.5744675176174332,True,False,False,False,False,False,True,False,False,False
4,Emp_4,-1.1449093650929711,-1.4895963098443832,0.5505313401482095,0.38076410681434364,True,False,False,True,False,False,True,False,False,False
5,Emp_5,-0.03540966060909551,0.9204086261018946,-0.560674577190003,1.0708458566137944,True,True,False,False,True,False,False,False,False,True
6,Emp_6,1.5008206994455016,0.46961633592489305,-0.06571053938066714,-0.42433126795168213,True,False,False,False,False,True,False,False,False,False
7,Emp_7,-0.20610192283738407,-1.3508909897899213,-0.41920683602133774,0.3232572943310561,False,True,True,False,False,False,False,False,False,False
8,Emp_8,0.13528260161919303,0.12285303578873799,0.2985844691939352,-0.4818380804349697,False,True,False,True,False,False,False,False,False,True
9,Emp_9,-0.8888709717505383,-1.368229154796729,-1.0673372195944315,1.128352669097082,False,False,False,False,True,False,False,True,False,False
10,Emp_10,-0.8888709717505383,-0.6400262245108033,0.8303748835984741,1.243366294063657,False,False,False,False,False,True,True,False,False,False
11,Emp_11,0.22062873273333733,1.0417757811495492,-0.6544480073171365,1.0133390441305068,False,True,False,True,False,False,True,False,False,False
12,Emp_12,1.2447823061030687,-1.4029054848103444,-0.19792553805893362,1.3008731065469445,True,False,False,False,False,False,False,False,False,True
13,Emp_13,1.5861668305596457,-0.1545576043201863,0.20954124408059657,1.3583799190302321,True,False,False,False,True,False,False,False,False,True
14,Emp_14,0.22062873273333733,0.3482491808772386,-0.027707380074715144,0.7833117941973565,True,True,False,False,True,False,False,False,False,True
15,Emp_15,-1.5716400206636925,1.5099062363333582,-1.1386594815341387,-1.6894811425840084,True,False,False,False,False,False,False,False,True,False
16,Emp_16,0.04993647050504876,0.7990414710542402,-0.027707380074715144,0.3232572943310561,False,False,False,False,True,False,False,False,False,False
17,Emp_17,-1.6569861517778368,-1.2642001647558825,-0.4965976048811817,1.128352669097082,True,True,True,False,False,False,True,False,False,False
18,Emp_18,0.22062873273333733,1.6139352263742044,0.43573734042318757,-0.9418925803012701,True,False,False,False,True,False,False,True,False,False
19,Emp_19,0.7327055194182029,-0.08520494429295523,0.19645818923756392,1.5884071689633823,True,True,True,False,False,False,False,False,True,False
21,Emp_21,-1.6569861517778368,-1.298876494769498,-0.04667434847149264,-0.8843857678179826,True,False,False,False,False,True,False,False,True,False
22,Emp_22,-0.03540966060909551,1.4925680713265503,-1.122230671925251,1.64591398144667,False,True,False,False,False,True,False,False,False,False
23,Emp_23,-6.064207348838429e-16,0.27889652085000755,-0.6190753034822705,-0.1943040180185319,True,False,False,True,False,False,False,False,False,True
24,Emp_24,-0.803524840636394,1.6832878864014358,1.0290204200070598,1.5309003564800947,False,False,False,False,False,True,False,True,False,False
25,Emp_25,0.04993647050504876,-1.1428330097082282,0.6322139047766674,0.9558322316472192,True,True,False,False,False,False,False,False,False,True
26,Emp_26,0.30597486384748157,0.1401912007955457,-0.67281504727314,-0.7693721428514074,True,True,False,True,False,False,True,False,False,False
27,Emp_27,0.47666712607577016,-1.368229154796729,-1.0818277988562033,-1.6319743301007208,False,True,False,False,False,True,True,False,False,False
28,Emp_28,1.7568590927879344,0.07083854076831461,-1.0063291120018771,-0.309317642985107,True,True,True,False,False,False,True,False,False,False
29,Emp_29,0.5620132571899145,1.3365245862652808,-0.24252791021339945,-1.2869334552009954,False,True,False,False,True,False,True,False,False,False
30,Emp_30,-0.4621403161798169,-1.368229154796729,0.12269006519316286,-1.1719198302344203,True,True,False,False,False,True,False,False,True,False
31,Emp_31,-0.5474864472939611,-0.8134078745788808,-0.6562477926394584,-0.13679720553524433,False,False,True,False,False,False,False,True,False,False
32,Emp_32,-1.5716400206636925,0.608321655979355,-0.11647371513846579,1.5884071689633823,True,False,False,True,False,False,False,True,False,False
33,Emp_33,1.3301284372172129,-1.4895963098443832,-0.2729627414972796,1.5884071689633823,True,True,False,False,True,False,True,False,False,False
34,Emp_34,-1.2302554962071153,-0.171895769326994,-0.712364176022625,0.3232572943310561,True,False,False,False,False,True,False,False,False,False
35,Emp_35,-0.03540966060909551,-0.58801172949038,-1.0785051182611474,1.128352669097082,False,True,False,True,False,False,False,False,False,True
36,Emp_36,-1.0595632339788268,1.1631429361972032,-0.41685327059983984,0.5532845442642064,True,True,False,False,False,True,True,False,False,False
37,Emp_37,1.5008206994455016,-1.576287134878422,-0.8178592849156502,0.26575048184776856,False,False,False,True,False,False,False,False,False,False
38,Emp_38,-0.29144805395152834,1.249833761231242,0.7835804652181033,1.5884071689633823,True,False,False,False,False,True,False,True,False,False
39,Emp_39,-1.486293889549548,0.6950124810133936,0.09705466143547455,-0.826878955334695,True,True,True,False,False,False,False,False,False,True
40,Emp_40,0.30597486384748157,-0.726717049544842,-0.9713486690705941,-0.7693721428514074,False,True,False,False,False,False,False,True,False,False
41,Emp_41,-0.6328325784081055,-1.0561421846741894,0.948191599698165,1.128352669097082,False,True,True,False,False,False,False,True,False,False
42,Emp_42,-6.064207348838429e-16,1.5445825663469737,-0.22986019044474879,1.243366294063657,True,False,False,False,True,False,False,False,True,False
43,Emp_43,0.39132099496162587,0.17486753080916106,-0.9696642546022671,-1.6894811425840084,True,True,False,False,False,True,False,False,False,True
44,Emp_44,-1.6569861517778368,-0.5533353994767645,0.37629827644496516,-0.4818380804349697,True,True,False,False,False,False,False,False,True,False
45,Emp_45,-0.12075579172323979,-1.5936252998852296,-0.8171901339624792,-1.5169607051341456,True,False,False,False,False,False,True,False,False,False
46,Emp_46,0.5620132571899145,-1.1775093397218437,-0.2527266937065572,1.7034207939299575,False,False,False,False,True,False,False,False,False,True
47,Emp_47,-1.2302554962071153,0.3309110158704309,0.2975461315079802,-0.1943040180185319,True,False,False,False,True,False,False,False,False,False
48,Emp_48,-1.1449093650929711,0.03616221075469923,-0.2635023314696899,0.43827091929763123,True,True,False,False,False,False,False,True,False,False
49,Emp_49,1.1594361749889244,0.8857322960882789,0.4824625362911613,-0.5393448929182573,True,True,False,False,True,False,False,True,False,False
50,Emp_50,-0.6328325784081055,1.1458047711903951,0.5289108421095471,-1.1144130177511329,True,False,False,False,True,False,False,False,True,False
51,Emp_51,-0.37679418506567264,-0.3799537494086869,-1.0769822229884134,0.035723231914618334,False,True,False,False,False,True,False,False,True,False
52,Emp_52,1.2447823061030687,-1.4029054848103444,0.27901757235638375,-1.5169607051341456,True,True,True,False,False,False,False,False,True,False
53,Emp_53,1.5861668305596457,0.9897612861291257,0.2455830988686336,-0.42433126795168213,True,False,False,True,False,False,False,False,False,True
54,Emp_54,-1.486293889549548,0.17486753080916106,1.053848227786783,0.7833117941973565,False,False,False,False,False,False,False,True,False,False
55,Emp_55,-6.064207348838429e-16,1.6486115563878205,-0.017947005826738405,0.4957777317809188,True,True,False,True,False,False,False,False,False,False
56,Emp_56,-1.3156016273212596,1.0070994511359335,-0.3537684876353755,0.3232572943310561,False,False,False,False,False,False,False,False,False,True
